Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Source,Partner,Campaign,Region,Country Code,State,City,Platform,App Version,Is Retargeting,Is Primary Attribution
click,2023-10-28 10:23:20,2023-10-31 9:27:14,2024-01-13 17:24:33,initial_request_success_prod,S2S,dgmax,o_ab11f93b1e,SA,BR,PE,Recife,android,3.0.2.0,FALSE,TRUE
click,2023-11-02 17:15:26,2023-11-03 21:31:41,2024-01-13 11:51:43,initial_request_success_prod,S2S,dgmax,3b92cef6e98f,SA,BR,MG,Nova Serrana,android,3.0.2.1,FALSE,TRUE
click,2023-09-04 6:03:07,2023-09-06 10:26:21,2024-01-13 8:31:42,initial_request_success_prod,S2S,dgmax,None,SA,BR,DF,Brasilia,android,3.0.3.0,FALSE,TRUE
click,2023-11-20 17:33:47,2023-11-25 16:39:31,2024-01-12 13:49:00,initial_request_success_prod,S2S,dgmax,o_e58c62a508,SA,BR,RJ,Barra Do Pirai,android,3.0.2.1,FALSE,TRUE
click,2023-10-09 14:59:15,2023-10-11 18:58:31,2024-01-12 10:17:20,initial_request_success_prod,S2S,dgmax,o_59848276a3,SA,BR,DF,Brasilia,android,2.22.7.2,FALSE,TRUE
click,2023-11-21 3:04:02,2023-11-21 9:14:35,2024-01-12 8:20:23,initial_request_success_prod,S2S,dgmax,None,SA,BR,RJ,Rio De Janeiro,android,3.0.2.1,FALSE,FALSE
click,2023-08-30 8:16:55,2023-08-30 20:00:59,2024-01-11 16:07:23,initial_request_success_prod,S2S,dgmax,None,SA,BR,BA,Governador Mangabeira,android,3.0.2.1,FALSE,FALSE
click,2023-08-28 19:56:58,2023-08-28 19:58:42,2024-01-11 8:11:32,initial_request_success_prod,S2S,dgmax,None,SA,BR,RJ,Belford Roxo,android,3.0.2.1,FALSE,TRUE
click,2023-10-28 20:17:03,2023-10-29 15:25:13,2024-01-10 23:35:00,initial_request_success_prod,S2S,dgmax,3b92cef6e98f,SA,BR,CE,Aracati,android,3.0.2.1,FALSE,TRUE
click,2023-09-01 7:44:01,2023-09-07 13:20:10,2024-01-10 19:39:04,initial_request_success_prod,S2S,dgmax,None,SA,BR,SE,Tobias Barreto,android,3.0.2.1,FALSE,TRUE
click,2023-11-26 15:26:41,2023-11-26 15:28:55,2024-01-10 13:04:00,initial_request_success_prod,S2S,dgmax,None,SA,BR,RJ,Rio De Janeiro,android,3.0.2.1,FALSE,FALSE
click,2023-10-10 22:35:23,2023-10-11 4:00:39,2024-01-09 23:14:12,initial_request_success_prod,S2S,dgmax,None,SA,BR,MG,Ribeirao Das Neves,android,3.0.2.1,FALSE,FALSE
click,2023-09-30 20:15:24,2023-10-01 21:48:59,2024-01-09 16:51:47,initial_request_success_prod,S2S,dgmax,None,SA,BR,BA,Santaluz,android,3.0.2.1,FALSE,FALSE
click,2023-09-30 20:15:24,2023-10-01 21:48:59,2024-01-09 16:42:13,initial_request_success_prod,S2S,dgmax,None,SA,BR,BA,Santaluz,android,3.0.2.1,FALSE,FALSE
click,2023-09-22 12:48:43,2023-09-22 12:49:06,2024-01-08 23:57:45,initial_request_success_prod,S2S,dgmax,None,SA,BR,RS,Cachoeirinha,android,3.0.2.1,FALSE,FALSE
click,2023-10-08 12:17:11,2023-10-10 10:32:07,2024-01-08 14:49:13,initial_request_success_prod,S2S,dgmax,o_59848276a3,SA,BR,SP,Sao Paulo,android,3.0.2.1,FALSE,FALSE
click,2024-01-07 18:53:39,2024-01-07 19:09:41,2024-01-07 19:32:08,initial_request_success_prod,S2S,dgmax,None,SA,BR,BA,Igara,android,3.0.2.1,FALSE,TRUE
